address,name,online_order,book_table,rate,rating_clean,votes,location,location_clean,rest_type,primary_rest_type,dish_liked,cuisines,primary_cuisine,approx_cost(for two people),cost_for_two,listed_in(type),listed_in(city),city_clean
"9, Maruthi Nagar, Madiwala, BTM, Bangalore",Amaravati,No,No,3.6/5,3.6,39,BTM,Btm,Quick Bites,,,"North Indian, Chinese",,400,,Dine-out,BTM,Btm
"767-768, 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bangalore",Eatery Have U Been,Yes,No,3.4/5,3.4,35,BTM,Btm,"Cafe, Quick Bites",,,"Cafe, Chinese, Fast Food, Burger, North Indian",,500,,Delivery,BTM,Btm
"20A/7, Annaya Reddy Layout, 18th cross, 26th main road, JP Nagar 6th phase, JP Nagar, Bangalore",The little Kitchen,Yes,No,3.3/5,3.3,4,JP Nagar,Jp Nagar,Quick Bites,,,"Chinese, North Indian",,300,,Delivery,BTM,Btm
"5, Ajandri Crest Shopping Complex, Beside Axis Bank ATM, Near Munnekolala Government High School, Marathahalli, Bangalore",Utopia,No,No,2.8/5,2.8,59,Marathahalli,Marathahalli,Casual Dining,,,"North Indian, Chinese",,550,,Dine-out,Brookefield,Brookefield
"203/205, Mint Plaza, Green Glen Layout, Opposite Quartz, Off Outer Ring Road, Bellandur, Bangalore",Pizza Hut,Yes,No,2.8/5,2.8,105,Bellandur,Bellandur,Quick Bites,,Garlic Bread,"Pizza, Fast Food",,600,,Delivery,Bellandur,Bellandur
"Nandhini Hotel Road, KR Layout, Phase 6, JP Nagar, Bangalore",Me And My Cake,Yes,No,3.1/5,3.1,8,JP Nagar,Jp Nagar,Takeaway,,,"Bakery, Desserts",,500,,Delivery,BTM,Btm
"149, 5th Main,6th Sector, HSR, Bangalore",Foodiesthan,Yes,No,3.7/5,3.7,59,HSR,Hsr,Cafe,,"Masala Chai, Garlic Bread, Oreo Shake","Cafe, Fast Food, North Indian",,600,,Dine-out,BTM,Btm
"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",Butterly,Yes,No,3.9/5,3.9,102,Bannerghatta Road,Bannerghatta Road,Cafe,,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",,450,,Desserts,Bannerghatta Road,Bannerghatta Road
"10, HDFC Bank Street, Bellandur Gate, Sarjapur Road, Bangalore",Mangala Hotel,Yes,No,3.8/5,3.8,27,Sarjapur Road,Sarjapur Road,Quick Bites,,,"Kerala, Chinese, North Indian",,300,,Dine-out,Bellandur,Bellandur
"69, Kaikondrahalli, Sarjapur Road, Bangalore",Savoury Restaurant,Yes,No,2.9/5,2.9,827,Sarjapur Road,Sarjapur Road,Casual Dining,,"Kerala Parotta, Jumbo Shawarma, Dragon Chicken, Rolls, Vegetarian, Chicken Shawarama, Faluda","Arabian, North Indian, Chinese, Kerala, Seafood, Biryani",,800,,Dine-out,Bellandur,Bellandur
"Nanjudeshwari complex, Oppsite Brookefield Mall, ITPL Main Road, Brookefield, Bangalore",Basaveshwara Khanavali,No,No,,3.7,0,Brookefield,Brookefield,Quick Bites,,,South Indian,,200,,Delivery,Brookefield,Brookefield
"40/2, Lavelle Road, Bangalore",The Spice Bazaar,No,Yes,4.2 /5,4.2,347,Lavelle Road,Lavelle Road,"Casual Dining, Bar",,"Brownie, Badam Halwa, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mocktails","North Indian, Mughlai",,"1,000",,Buffet,Brigade Road,Brigade Road
"The Bay, Building 8A&8B, RMZ Ecoworld, Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bangalore",KFC,No,No,3.6/5,3.6,20,Bellandur,Bellandur,"Quick Bites, Food Court",,,"Burger, Fast Food",,450,,Dine-out,Bellandur,Bellandur
"Arshiya Lake View Residency, Mahadeshwara Nagar, Stage 2, BTM",Sri Krishna Delight,Yes,No,,3.7,0,BTM,Btm,Quick Bites,,,"North Indian, South Indian",,250,,Dine-out,Bannerghatta Road,Bannerghatta Road
"7, Markham Road, Ashok Nagar, Bengaluru",Eatato Snack Bar,Yes,No,3.3/5,3.3,11,Brigade Road,Brigade Road,Casual Dining,,,"North Indian, Fast Food",,400,,Delivery,Brigade Road,Brigade Road
"Nallurhalli Circle, Near Andhrabank, Opposite The Whitefield Market, Whitefield, Bangalore",Bangalore Agarwal Bhavan,No,No,3.0/5,3,5,Whitefield,Whitefield,Quick Bites,,,"Mithai, Street Food",,500,,Buffet,Brookefield,Brookefield
"Srinivas Reddy Building, 2nd Main Road, Outer Ring Road, Bellandur, Bangalore",Nandana Mess,No,No,3.4/5,3.4,7,Bellandur,Bellandur,Mess,,,"South Indian, Chinese",,350,,Dine-out,Bellandur,Bellandur
"2/20, 100 Feet Ring Road, BTM 1st Stage, BTM, Bangalore",Sri Punjabi Dhaba,Yes,No,3.2/5,3.2,44,BTM,Btm,Dhaba,,,North Indian,,400,,Delivery,BTM,Btm
"125, 1st Floor, Mahadevanpura Post, Brookefield, Bangalore",Zaica Dine & Wine,Yes,Yes,3.8/5,3.8,818,Brookefield,Brookefield,"Casual Dining, Bar",,"Lemon Chicken, Egg Curry, Malai Kofta, Veg Starter, Biryani, Gajar Ka Halwa, Dal Tadka",North Indian,,750,,Dine-out,Brookefield,Brookefield
"Conrad Bengaluru, Kensington Road, Ulsoor, Bangalore",The Lobby Brew - Conrad Bengaluru,No,Yes,3.8/5,3.8,25,Ulsoor,Ulsoor,Cafe,,,"Cafe, North Indian, Fast Food",,"2,200",,Desserts,Church Street,Church Street
"120/57, Ground Floor, Azeem's Gold Building, Whitefield, Bangalore",Stoner,Yes,No,4.3/5,4.3,544,Whitefield,Whitefield,"Dessert Parlor, Cafe",,"Burgers, Paan Ice Cream, Butter Chicken Pizza, Peri Peri Chicken Burger, Caramel Custard, Cheesecake, Hot Chocolate","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",,500,,Delivery,Brookefield,Brookefield
"Opposite NIFT College, 2733, 16th Cross, 27th Main Road, PWD Quarters, 1st Sector, HSR Layout, HSR, Bangalore",Artinci Artisanal Ice Cream,Yes,No,NEW,3.7,0,HSR,Hsr,Dessert Parlor,,,"Ice Cream, Desserts",,300,,Delivery,Bellandur,Bellandur
"14, Patel Medicals, 7th Main, 2nd Stage, BTM, Bangalore",Totus,Yes,No,NEW,3.7,0,BTM,Btm,Quick Bites,,,Chinese,,300,,Delivery,Bannerghatta Road,Bannerghatta Road
"Third Floor, Food Court, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",Shawarma Inc,Yes,No,3.1/5,3.1,28,Brigade Road,Brigade Road,Food Court,,,"Rolls, Lebanese",,250,,Dine-out,Brigade Road,Brigade Road
"No 5, BTM 2nd Stage,beside Indian oil petrol pump, Bangalore",Krishna Vaibhava,Yes,No,3.5/5,3.5,40,BTM,Btm,Casual Dining,,,"North Indian, South Indian",,350,,Delivery,BTM,Btm
"Skywalk, 4th Floor, Near Body Craft, Assaye Road, Ulsoor, Bangalore",Watson's,No,Yes,4.2/5,4.2,1428,Ulsoor,Ulsoor,Pub,,"Beer, Mocktails, Cocktails, Margherita Pizza, Supreme Pizza, Fish Chilli, Margarita","Finger Food, Salad, Chinese, Continental",,"1,300",,Dine-out,Church Street,Church Street
"40/2, Lavelle Road, Bangalore",The Rice Bowl,Yes,Yes,4.3/5,4.3,500,Lavelle Road,Lavelle Road,"Casual Dining, Bar",,"Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken","Chinese, Momos",,"1,300",,Pubs and bars,Church Street,Church Street
"1A, Church Street, Bangalore",Wolf'ish,Yes,No,4.1/5,4.1,461,Church Street,Church Street,Cafe,,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",,700,,Dine-out,Church Street,Church Street
"173, Opposite Ranka Apartments, Bilekahalli, Bannerghatta Road, Bangalore",Kedia's Fun Food,No,No,,3.7,0,Bannerghatta Road,Bannerghatta Road,Quick Bites,,,"North Indian, Street Food, Juices",,200,,Dine-out,Bannerghatta Road,Bannerghatta Road
"45/1-1, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore",Woody's,Yes,No,2.6/5,2.6,208,JP Nagar,Jp Nagar,Casual Dining,,"Curd Rice, Pongal, Coffee, Thali, Noodles, Pav Bhaji, Masala Dosa","Chinese, South Indian, North Indian",,650,,Delivery,Bannerghatta Road,Bannerghatta Road
"4th Floor, Bangalore Central Mall, 9th Block, JP Nagar, Bangalore",Naati Manae,Yes,No,3.1/5,3.1,10,JP Nagar,Jp Nagar,Food Court,,,"South Indian, Biryani",,500,,Delivery,Bannerghatta Road,Bannerghatta Road
"The Bay, RMZ Ecospace, Bellandur, Bangalore",Squeez Juice Bars,No,No,3.3/5,3.3,10,Bellandur,Bellandur,Beverage Shop,,,"Beverages, Fast Food",,200,,Desserts,Bellandur,Bellandur
"126, 8th Main, 3rd Phase, JP Nagar, Bangalore",Waikiki,No,No,3.2/5,3.2,5,JP Nagar,Jp Nagar,Quick Bites,,,"Fast Food, Beverages",,200,,Dine-out,BTM,Btm
"Rhenius Road, Opposite Hockey Stadium, Richmond Town, Bangalore",Hushy's Kitchen,Yes,No,3.5/5,3.5,58,Shanti Nagar,Shanti Nagar,Quick Bites,,,Fast Food,,300,,Delivery,Basavanagudi,Basavanagudi
"123, 5th Cross Road, Arakere Gate, Araka Mico Layout, Arekere, Bannerghatta Road, Bangalore",Sagar Grand,Yes,No,3.8/5,3.8,30,Bannerghatta Road,Bannerghatta Road,Quick Bites,,,"South Indian, North Indian, Chinese",,300,,Delivery,Bannerghatta Road,Bannerghatta Road
"Kiosk 5, Third Floor, Food Court, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",XO Belgian Waffle,Yes,No,4.4/5,4.4,215,Brigade Road,Brigade Road,Food Court,,"Belgian Waffles, Hot Chocolate, Salted Caramel, Nutella Waffle","Desserts, Beverages",,450,,Delivery,Brigade Road,Brigade Road
"11/2 Ground Floor, Sigma Trident, Off Richmond Road, Richmond Road, Bangalore",Beijing Bites,Yes,No,3.8/5,3.8,262,Richmond Road,Richmond Road,Casual Dining,,"Manchurian, Noodles, Basil Chicken, Chop Suey, Triple Schezwan, Dragon Chicken, Schezwan Rice","Chinese, Thai",,850,,Dine-out,Church Street,Church Street
"40, 4th P Cross, Koramangala 5th Block, Bangalore",Happy Brew,No,Yes,4.0/5,4,2151,Koramangala 5th Block,Koramangala 5Th Block,Lounge,,"Beer, Jalapeno Cheeseballs, Peri Peri Chicken Burger, Burgers, Nachos, Barbecue Chicken Wings, Cheesy Fries","Continental, American, Chinese, BBQ, Salad",,"1,000",,Dine-out,BTM,Btm
"1-A, Albert Street, Brigade Tower",Munchies,Yes,No,3.9/5,3.9,65,Brigade Road,Brigade Road,"Quick Bites, Bakery",,"Burgers, Sandwiches, Momos, Chicken Seekh Roll, Sandwich","Fast Food, Bakery",,250,,Desserts,Church Street,Church Street
"83, GP Plaza, Outer Ring Road,Near Kala Mandir, Marathahalli, Bangalore",Nizam's Biryani House,Yes,No,3.9/5,3.9,756,Marathahalli,Marathahalli,Casual Dining,,"Hyderabadi Biryani, Tikka, Chicken Biryani, Chicken Lollipop, Paneer Kulcha","North Indian, Biryani",,"1,000",,Dine-out,Brookefield,Brookefield
"The Pride Hotel, 93, Richmond Road, Bangalore",Puran da Dhaba - The Pride Hotel,Yes,No,4.0/5,4,164,Richmond Road,Richmond Road,"Casual Dining, Bar",,"Paneer Tikka, Biryani, Hara Bhara Kebab, Gulab Jamun, Mocktails, Roti, Fish",North Indian,,"1,700",,Buffet,Church Street,Church Street
"Level 2, 14, Opposite Fire Station, Adjacent to Kaikondrahalli Lake, Sarjapur Road, Bangalore",Nayi Dilli by Anand Sweets,No,Yes,4.0/5,4,119,Sarjapur Road,Sarjapur Road,Casual Dining,,"Phirni, Butter Naan, Kadhai Paneer, Tandoori Roti, Paratha, Dal Makhani, Paneer Tikka","North Indian, Chinese",,"1,000",,Delivery,Bellandur,Bellandur
"7, VT Paradise Hotel, 10th Main, Near Corporation Circle, Richmond Road, Bangalore",VT Sindhur Veg,No,No,3.3/5,3.3,13,Richmond Road,Richmond Road,Casual Dining,,,"North Indian, Chinese",,600,,Dine-out,Church Street,Church Street
"72, 2nd Floor, Next to Max & Crossword, 3rd Phase, Inner Ring Road, JP Nagar, Bangalore",Oye Amritsar,Yes,Yes,3.8/5,3.8,756,JP Nagar,Jp Nagar,Casual Dining,,"Lassi, Raita, Dal Makhani, Panneer Butter Masala, Jalebi, Biryani, Paneer Tikka",North Indian,,"1,000",,Delivery,Bannerghatta Road,Bannerghatta Road
"Veracious Lansdale, Next To Prestige Ozone Back Gate, Whitefield, Bangalore",Delicious Desserts,No,No,3.5/5,3.5,10,Whitefield,Whitefield,Delivery,,,Desserts,,750,,Delivery,Brookefield,Brookefield
"Purva Riviera Apartment Commercial Complex, Spice Garden Layout, Lakshminarayana Pura, AECS Layout, Marathahalli, Bangalore",Kaati Zone,Yes,No,3.3/5,3.3,184,Marathahalli,Marathahalli,Quick Bites,,"Rolls, Falafel, Biryani, Paratha","Fast Food, Biryani, Rolls",,350,,Dine-out,Brookefield,Brookefield
"2nd Floor, Forum Mall, Koramangala 7th Block, Bangalore",Salt - Indian Restaurant Bar & Grill,Yes,Yes,4.4/5,4.4,677,Koramangala 7th Block,Koramangala 7Th Block,Casual Dining,,"Dahi Kebab, Lamb, Mocktails, Lassi, Vegetable Biryani, Galauti Kebab, Mutton Biryani","North Indian, Mughlai, Biryani",,"1,500",,Buffet,BTM,Btm
"18, Gandhi Bazar Main Road, Roti Ghar, Basavanagudi, Bangalore",Bharjari Oota,No,No,3.9/5,3.9,153,Basavanagudi,Basavanagudi,Casual Dining,,"Curd Rice, Coriander Soup, Masala Dosa, Biryani, Thali",South Indian,,350,,Dine-out,Basavanagudi,Basavanagudi
"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",Woodee Pizza,Yes,No,2.7/5,2.7,85,JP Nagar,Jp Nagar,Cafe,,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",,500,,Cafes,BTM,Btm
"The Millenia, The Market Place Food Court, Level 12-14, Tower B, 1 & 2, Murphy Road, Ulsoor, Bangalore",The Wok Shop,Yes,No,3.4/5,3.4,7,Ulsoor,Ulsoor,Quick Bites,,,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",,500,,Delivery,Church Street,Church Street
"69, 7th Main Road, 2nd Stage, BTM, Bangalore",Namaste,No,No,NEW,3.7,0,BTM,Btm,Quick Bites,,,South Indian,,70,,Dine-out,BTM,Btm
"C.K.B Layout, Near Nest Backry, Munnekolala, Marathahalli, Bangalore",Mahek of Punjab,Yes,No,2.7/5,2.7,75,Marathahalli,Marathahalli,Quick Bites,,,North Indian,,400,,Dine-out,Brookefield,Brookefield
"Mantri Elegance, BTM 2nd Stage, NS Palya, Bannerghatta Road, Bangalore",The Sandesh Factory,No,No,3.2/5,3.2,4,Bannerghatta Road,Bannerghatta Road,Sweet Shop,,,"Mithai, Desserts",,150,,Desserts,Bannerghatta Road,Bannerghatta Road
"17/1, Ramalh Garden, Kadieranahall Circle, Near Raghavendra Flour Mill, Dr Vishnuvardhan Main Road, BSK 2nd Stage, Banashankari, Bangalore",Banashankari Nati Style,No,No,,3.7,0,Banashankari,Banashankari,Quick Bites,,,"Biryani, Chinese, South Indian, North Indian",,350,,Dine-out,Banashankari,Banashankari
"Vishwa Pearl, 1213, Ananthanagar, Phase 2, Electronic City, Bangalore",Bangalore Agarwal Bhavan,Yes,No,3.6/5,3.6,20,Electronic City,Electronic City,"Quick Bites, Sweet Shop",,,"North Indian, Street Food, Mithai, Chinese",,500,,Desserts,Electronic City,Electronic City
"30, 33rd Main, 16th Cross, 6th Phase, JP Nagar, Bangalore",Vinaya Cafe,Yes,No,3.7/5,3.7,55,JP Nagar,Jp Nagar,Quick Bites,,"Coffee, Masala Dosa","South Indian, Street Food, Juices",,200,,Delivery,Bannerghatta Road,Bannerghatta Road
"Near Ayyappa Temple, Konappana Agrahara, Near Infosys Gate 6, Phase 1, Electronic City, Bangalore",Swaadh,No,No,,3.7,0,Electronic City,Electronic City,Quick Bites,,,"South Indian, North Indian, Kerala, Chinese",,300,,Dine-out,Electronic City,Electronic City
"55, Mosque Road, Frazer Town, Bangalore",Karama Restaurant,Yes,Yes,4.4/5,4.4,2860,Frazer Town,Frazer Town,Casual Dining,,"Salads, Veg Pulao, Sea Food, Popcorn Chicken, Karachi Naan, Rabri, Butter Chicken","Arabian, North Indian, Beverages",,750,,Delivery,Brigade Road,Brigade Road
"17, H Main Road, Next to Aero Fitness Gym, Koramangala 5th Block, Bangalore",Chai Mane,No,No,3.0/5,3,8,Koramangala 5th Block,Koramangala 5Th Block,Quick Bites,,,"Juices, Fast Food",,150,,Delivery,BTM,Btm
"Next to New Horizon Gurukul School, Behind Cessna Business Park, Bellandur, Bangalore",Cafe Olive,No,No,3.8/5,3.8,114,Bellandur,Bellandur,Cafe,,"Pasta, Pizza, Burgers, Sandwiches, Greek Salad, Sandwich, French Fries","Cafe, European, Beverages, Italian",,550,,Delivery,Bellandur,Bellandur
"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,No,No,4.0/5,4,1047,Banashankari,Banashankari,Quick Bites,,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",,450,,Delivery,Basavanagudi,Basavanagudi
"457/32, Opposite Bangalore Central Mall, Outer Ring Road, Bellandur, Bangalore",Bathinda Dine,Yes,No,4.0/5,4,230,Bellandur,Bellandur,Casual Dining,,"Butter Chicken, Paneer Methi Malai, Lassi, Butter Naan, Sarso Da Saag, Tandoori Chicken, Gajar Ka Halwa",North Indian,,950,,Dine-out,Bellandur,Bellandur
"Ground Floor, Ganapa Tower, Outer Ring Road, Bellandur, Bangalore",Annapurna Foods,Yes,No,3.5/5,3.5,11,Bellandur,Bellandur,Casual Dining,,,"North Indian, Chinese, Hyderabadi",,400,,Delivery,Bellandur,Bellandur
"745/AB, 2nd Floor, Shravanee Square, 24th Main, 15th cross, 6th Phase, JP Nagar, Bangalore",Casa Piccosa,Yes,Yes,4.1/5,4.1,842,JP Nagar,Jp Nagar,"Casual Dining, Bar",,"Cocktails, Cajun Chicken, Beer, Salads, Chilli Babycorn, Chicken Tacos, Murgh Platter","South American, Continental, Italian",,"1,100",,Delivery,Bannerghatta Road,Bannerghatta Road
"17/1, Raheja Plaza, Commissariat Road, D'souza Circle, Opposite Lifestyle, Brigade Road, Bangalore",Fatso's,Yes,No,3.8/5,3.8,72,Brigade Road,Brigade Road,Cafe,,"Sandwich, Garlic Bread, Brownie, Potato Wedges, French Fries","Cafe, American, Italian, Burger",,650,,Delivery,Church Street,Church Street
"450/18, H Siddaiah Road, 3rd Cross, Wilson Garden, Bangalore",FNP Cakes N More,No,No,NEW,3.7,0,Wilson Garden,Wilson Garden,Delivery,,,Bakery,,700,,Delivery,Brigade Road,Brigade Road
"77/A, Ground Floor, Cygnus Chambers, JNC Road, Koramangala 5th Block, Bangalore",Kopper Kadai,Yes,Yes,4.1/5,4.1,1697,Koramangala 5th Block,Koramangala 5Th Block,Casual Dining,,"Mutton Kalmi, Chicken Biryani, Dahi Ke Kebab, Lassi, Tomato Soup, Ganna Chicken, Soya Chaap","North Indian, Chinese",,"1,200",,Dine-out,BTM,Btm
"Lalbagh Main Road, Opposite Mavlli Masjid, City Market, Bangalore",Rasoi Family Restaurant,No,No,,3.7,0,City Market,City Market,Quick Bites,,,"North Indian, Chinese",,300,,Dine-out,Basavanagudi,Basavanagudi
"18-30, 60 Feet Road, 6th Block, Koramangala, Bangalore",Delite Chaat House,Yes,No,3.9/5,3.9,498,Koramangala 6th Block,Koramangala 6Th Block,Quick Bites,,"Chaat, Dabeli, Pav Bhaji, Dhokla, Gujarati Food, Jalebi, Panipuri","Street Food, Gujarati",,300,,Delivery,BTM,Btm
"Shop 420, 7th Cross, BTM 2nd Stage, BTM, Banglore",The Food Cottage,Yes,No,3.7/5,3.7,48,BTM,Btm,Quick Bites,,,"Hyderabadi, North Indian",,350,,Dine-out,BTM,Btm
"153, Ground Floor, Sheela Arcade, 7th Block, Koramangala 7th Block, Bangalore",Banchharam,No,No,3.9/5,3.9,139,Koramangala 7th Block,Koramangala 7Th Block,"Quick Bites, Sweet Shop",,"Mishti Doi, Rasgulla, Radhaballavi, Rasmalai, Chamcham, Dum Aloo, Malai Roll","Street Food, Mithai",,200,,Dine-out,BTM,Btm
"18/1, Cambridge Road, Cambridge Layout, Ulsoor, Bangalore",Copacabana Pub,No,No,NEW,3.7,0,Ulsoor,Ulsoor,"Pub, Casual Dining",,,"Mexican, North Indian, Continental",,"1,500",,Pubs and bars,Church Street,Church Street
"417, 1st Cross Road, Chandra Layout, Marathahalli, Bangalore",SLV Spice Up,No,No,,3.7,0,Marathahalli,Marathahalli,Quick Bites,,,"South Indian, North Indian, Chinese",,400,,Dine-out,Brookefield,Brookefield
"15/2, Near Bishop Cotton's Boys School, Residency Road, Bangalore",Sweet Chariot Cafe,Yes,No,3.8/5,3.8,113,Residency Road,Residency Road,Dessert Parlor,,"Chocolate Mousse, Pasta, Chocolate Cake, Lemon Tarts, Veg Burger","Continental, Fast Food, Beverages, Desserts",,500,,Dine-out,Brigade Road,Brigade Road
"413, 100 Feet Road, Next to E-Zone, Koramangala 4th Block, Bangalore",Fandom at Gilly's Redefined,No,No,3.8/5,3.8,103,Koramangala 4th Block,Koramangala 4Th Block,Bar,,"Onion Rings, French Fries",Finger Food,,"1,500",,Dine-out,BTM,Btm
"2nd Stage, Indiranagar, Bangalore",YumYumDilli,Yes,No,3.6/5,3.6,51,Indiranagar,Indiranagar,Delivery,,,North Indian,,500,,Delivery,Church Street,Church Street
"579, Ground Floor, C Block AECS Layout, Kundalahalli, Brookefield, Bangalore",South House,Yes,No,3.8/5,3.8,97,Brookefield,Brookefield,Casual Dining,,"Egg Biryani, Roti, Mutton Biryani, Chicken Chettinad","South Indian, Biryani",,800,,Delivery,Brookefield,Brookefield
"31/15, 1st Cross, Bhavani Layout, Opposite Chandrodaya Convention Center, BG Road, Bannerghatta Road, Bangalore",Kitchen King,No,No,,3.7,0,Bannerghatta Road,Bannerghatta Road,Quick Bites,,,"South Indian, North Indian, Chinese",,250,,Dine-out,BTM,Btm
"44, Near K C Das, Off Brigade Road, Church Street, Bangalore",ZOROY Luxury Chocolate,Yes,No,4.0/5,4,68,Church Street,Church Street,Dessert Parlor,,Hot Chocolate,Desserts,,250,,Delivery,Church Street,Church Street
"17/4, Cambridge Layout, Ulsoor, Bangalore",Kadamba Foodline,Yes,No,3.7/5,3.7,29,Ulsoor,Ulsoor,Casual Dining,,,"Chinese, North Indian, South Indian",,400,,Dine-out,Brigade Road,Brigade Road
"Arab Lane, B Street, 2nd Cross, Richmond Road, Bangalore",Rizq Restaurant,No,No,,3.7,0,Richmond Road,Richmond Road,Quick Bites,,,Biryani,,150,,Dine-out,Brigade Road,Brigade Road
"12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore",Chianti,No,Yes,4.7/5,4.7,4845,Koramangala 5th Block,Koramangala 5Th Block,Casual Dining,,"Pasta, Tiramisu, Wine, Barbeque Chicken Pizza, Salads, Brownie Chocolate, Bruschettas",Italian,,"1,500",,Dine-out,BTM,Btm
"15, SG Palya Main Road, Near Srinivas theatre, Venkateshwara Layout, BTM, Bangalore",Shake Tat Bottle,Yes,No,3.3/5,3.3,5,BTM,Btm,Beverage Shop,,,Beverages,,200,,Cafes,BTM,Btm
"352, 1st Cross, Aswath Nagar, SJR Spencers Road, Marathahalli, Bangalore",Kerala Kitchen,No,No,3.4/5,3.4,82,Marathahalli,Marathahalli,,,,"Kerala, North Indian, Chinese, Kebab",,550,,Dine-out,Brookefield,Brookefield
"49/8, 29th B Main, 100 Feet Ring Road, 1st Stage, BTM, Bangalore",Hyderabadi Biryani House,No,No,NEW,3.7,0,BTM,Btm,Quick Bites,,,Biryani,,300,,Dine-out,BTM,Btm
"D-170, 4th Cross, 1st Main Street, ITPL Main Road, Kundalahalli Colony, Brookefield, Bangalore",Ginger & Garlic,Yes,No,3.6/5,3.6,92,Brookefield,Brookefield,Quick Bites,,"Biryani, Chicken Curry","South Indian, North Indian, Chinese",,350,,Delivery,Brookefield,Brookefield
"High Gates Hotel, 33, Church Street, Bangalore",Roomali,No,Yes,4.0/5,4,171,Church Street,Church Street,Casual Dining,,"Tandoori Chicken, Rumali Roti, Butter Chicken, Malai Kofta, Chicken Curry, Palak Paneer, Chicken Biryani",North Indian,,"1,300",,Dine-out,Brigade Road,Brigade Road
"38, 7th Main, 5th Cross, Sampangiram Nagar, SR Nagar",Siddappa Hotel,No,No,4.1/5,4.1,274,Richmond Road,Richmond Road,Quick Bites,,"Masala Dosa, Idli, Kali Dosa, Ghee Khali Dosa, Tomato Rice, Set Dosa, Ghee Rice",South Indian,,150,,Dine-out,Brigade Road,Brigade Road
"Ground Floor, 148/1 and 148/2, Near HSBC, Bannerghatta Road, Bangalore",Wangs Kitchen,Yes,No,2.9/5,2.9,116,Bannerghatta Road,Bannerghatta Road,Casual Dining,,"Noodles, Momos",Chinese,,"1,000",,Delivery,BTM,Btm
"17/1, Ramalh Garden, Kadieranahall Circle, Near Raghavendra Flour Mill, Dr Vishnuvardhan Main Road, BSK 2nd Stage, Banashankari, Bangalore",Banashankari Nati Style,No,No,,3.7,0,Banashankari,Banashankari,Quick Bites,,,"Biryani, Chinese, South Indian, North Indian",,350,,Delivery,Basavanagudi,Basavanagudi
"1478/1, 18th Main, 40th Cross, 4th T Block, Jayanagar, Bangalore",Tummy Fuel,Yes,No,4.2/5,4.2,450,Jayanagar,Jayanagar,Cafe,,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",,400,,Cafes,BTM,Btm
"Ramada Hotel, 11, Park Road, Shivajinagar, Bangalore",Tiger Trail - Ramada Hotel,Yes,Yes,4.0/5,4,188,Shivajinagar,Shivajinagar,"Casual Dining, Bar",,"Biryani, Custard, Paratha, Poha, Breakfast Buffet, Thali, Dal Makhani","North Indian, Lucknowi",,"1,300",,Dine-out,Church Street,Church Street
"35/1B, Munnekolala, Varthur Main Road, Whitefield",Southern Spice,Yes,No,4.0/5,4,121,"Varthur Main Road, Whitefield","Varthur Main Road, Whitefield",Casual Dining,,"Hyderabadi Biryani, Palak Paneer, Veg Thali, Mushroom Biryani, Mutton Biryani","North Indian, Chinese, Biryani, Andhra",,800,,Delivery,Brookefield,Brookefield
"Near Bharathi Nagar, Frazer Town, Bangalore",Midnight Eats,Yes,No,3.0/5,3,114,Frazer Town,Frazer Town,Delivery,,,"North Indian, Chinese",,500,,Delivery,Brigade Road,Brigade Road
"227,Sitaram Complex, Bilekahalli,opp to IIM-B, Bannerghatta Road, Bangalore",Vaho Kafe & Pressery,No,No,3.9/5,3.9,125,Bannerghatta Road,Bannerghatta Road,Cafe,,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta","Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",,500,,Delivery,Bannerghatta Road,Bannerghatta Road
"01, 100 Feet Ring Road, 1st Phase, BTM 2nd stage, Bangalore",Juice Shop,Yes,No,3.5/5,3.5,22,BTM,Btm,"Takeaway, Delivery",,,"Juices, Beverages, Ice Cream",,150,,Delivery,BTM,Btm
